,residual,rolling_mean,rolling_std,z_score,is_anomaly
0,10.209410853338113,,,,False
1,-11.453695994854115,,,,False
2,-4.3802546314179835,,,,False
3,-5.234004324978741,,,,False
4,-21.675546683889706,,,,False
5,-5.549297615200203,,,,False
6,-15.892832515239661,,,,False
7,5.056265460392865,,,,False
8,0.8506208864004066,,,,False
9,13.950182536965599,,,,False
10,-11.118612056931852,,,,False
11,-55.28097119454151,,,,False
12,-26.011696443289566,,,,False
13,-19.839577720838633,,,,False
14,-55.86602043703806,,,,False
15,-30.325454498434055,,,,False
16,-15.431729272055463,,,,False
17,-28.934756260406857,,,,False
18,28.314196941465298,,,,False
19,69.31785561667084,,,,False
20,91.99823945313688,,,,False
21,47.42555421987163,,,,False
22,-15.496567203569384,,,,False
23,18.547719631898417,,,,False
24,41.69463500348934,,,,False
25,27.608142024457493,,,,False
26,26.34704425651421,,,,False
27,5.71320187463175,,,,False
28,-0.9761124410570119,,,,False
29,20.96775772917863,,,,False
30,-8.160155252784534,,,,False
31,2.343363473618183,,,,False
32,-5.406390290567288,,,,False
33,-18.41657360647025,,,,False
34,-5.930710516977342,,,,False
35,-54.621659902578585,,,,False
36,-43.88540315921887,,,,False
37,9.021293454819897,,,,False
38,-8.678029382514978,,,,False
39,18.088802784079462,,,,False
40,36.58774318145515,,,,False
41,51.6099379837633,,,,False
42,96.32941327825779,,,,False
43,77.62336846475614,,,,False
44,18.492531997168044,,,,False
45,-26.928926995378788,,,,False
46,-83.34049077245595,,,,False
47,-16.876559643602377,,,,False
48,31.297118755817337,,,,False
49,26.259060691308832,,,,False
50,26.014712161034367,,,,False
51,-7.39966663048267,,,,False
52,-19.560925401216764,,,,False
53,-5.332542902290925,,,,False
54,10.590446790397209,,,,False
55,20.1894009792386,,,,False
56,35.57544212746018,,,,False
57,42.81806525638103,,,,False
58,26.620042105364746,,,,False
59,-28.45224142123459,,,,False
60,-19.734781529206202,,,,False
61,17.61699374290106,,,,False
62,17.172552340257198,,,,False
63,35.51791731147773,,,,False
64,46.44861245643506,,,,False
65,19.070946660626078,,,,False
66,-0.4984227502761769,,,,False
67,-25.544712550502936,,,,False
68,-50.722487644404055,,,,False
69,-79.57612109747515,,,,False
70,-86.47103197041747,,,,False
71,-16.322798472708428,,,,False
72,25.28603936094055,,,,False
73,10.006830013829585,,,,False
74,-18.05736392658946,,,,False
75,-33.497838780104985,,,,False
76,-62.50444451578278,,,,False
77,-52.80348367422221,,,,False
78,-38.05292964777948,,,,False
79,-27.204827472558577,,,,False
80,-5.296655861127306,,,,False
81,-5.616811996212618,,,,False
82,-16.170429333650986,,,,False
83,-66.16533737564384,,,,False
84,-83.48630072541835,,,,False
85,-82.7494100944698,,,,False
86,-65.2165548766493,,,,False
87,-39.923353186065015,,,,False
88,6.028872129571482,,,,False
89,7.409995463758833,,,,False
90,5.314071631103843,,,,False
91,-19.363169710099783,,,,False
92,-70.12388157691953,,,,False
93,-88.49684036550525,,,,False
94,-109.43798438558588,,,,False
95,-54.920668316978436,,,,False
96,-17.040237724202825,,,,False
97,-12.73839175415037,,,,False
98,-11.105455988270023,,,,False
99,-37.5727519898594,,,,False
100,-26.187738966643792,,,,False
101,-10.07159255239958,,,,False
102,-9.031923859870517,,,,False
103,3.5693281298339343,,,,False
104,14.526297715643068,,,,False
105,4.599572704410548,,,,False
106,18.08329909919496,,,,False
107,-37.57784101355378,,,,False
108,4.285033343625173,,,,False
109,51.482373123157004,,,,False
110,31.790264000040224,,,,False
111,48.718015452361215,,,,False
112,55.806158439803085,,,,False
113,44.841084112554654,,,,False
114,61.0479282379747,,,,False
115,68.02403731119625,,,,False
116,75.4255133723259,,,,False
117,49.8752217439951,,,,False
118,-34.74340560166229,,,,False
119,-11.370386792153113,,,,False
120,26.152228890198558,,,,False
121,20.065605765813643,,,,False
122,6.463437056601151,,,,False
123,-0.6880360034822388,,,,False
124,-8.071191579311972,,,,False
125,2.6634065192877188,,,,False
126,22.85778343280549,,,,False
127,49.99765988443494,,,,False
128,70.16881577131744,,,,False
129,75.16578468155262,,,,False
130,68.78429975466736,,,,False
131,2.4770351626575575,,,,False
132,16.989950630807698,,,,False
133,42.58773981361992,,,,False
134,38.37108786985891,,,,False
135,60.295808232414856,,,,False
136,64.4845647870361,,,,False
137,80.71304668727521,,,,False
138,111.10673179968603,,,,False
139,63.92454600182191,,,,False
140,31.66646878661504,,,,False
141,28.290749735999043,,,,False
142,-27.38173701476444,,,,False
143,5.177459617263139,,,,False
144,57.40230244919644,,,,False
145,68.02592213478692,,,,False
146,59.081378696572756,,,,False
147,21.974328919458458,,,,False
148,-7.613631804478246,,,,False
149,8.403448281848569,,,,False
150,15.538033322560977,,,,False
151,49.85765518813139,,,,False
152,62.42053216953286,,,,False
153,64.85519649787545,,,,False
154,51.54819116293788,,,,False
155,-0.5064897952438514,,,,False
156,3.6703546742855906,,,,False
157,32.25355363858944,,,,False
